iter	Passed	Remaining
1282	119545	20219
1283	119634	20125
1284	119765	20038
1285	119868	19946
1286	119988	19858
1287	120076	19764
1288	120171	19671
1289	120291	19582
1290	120363	19485
1291	120493	19398
1292	120585	19304
1293	120685	19212
1294	120774	19118
1295	120879	19027
1296	121002	18938
1297	121059	18839
1298	121166	18748
1299	121244	18653
1300	121329	18558
1301	121460	18471
1302	121576	18381
1303	121677	18288
1304	121778	18196
1305	121898	18107
1306	121999	18015
1307	122132	17927
1308	122238	17836
1309	122345	17744
1310	122467	17655
1311	122573	17563
1312	122692	17474
1313	122808	17383
1314	123009	17305
1315	123109	17212
1316	123202	17119
1317	123299	17026
1318	123413	16935
1319	123522	16843
1320	123633	16752
1321	123740	16660
1322	123850	16569
1323	123958	16477
1324	124068	16386
1325	124167	16293
1326	124282	16202
1327	124365	16107
1328	124467	16015
1329	124568	15922
1330	124680	15830
1331	124798	15740
1332	124918	15649
1333	125012	15556
1334	125124	15464
1335	125241	15373
1336	125357	15282
1337	125443	15188
1338	125565	15097
1339	125660	15004
1340	125776	14913
1341	125906	14823
1342	126032	14733
1343	126119	14638
1344	126236	14547
1345	126348	14455
1346	126416	14359
1347	126504	14264
1348	126611	14172
1349	126725	14080
1350	126805	13985
1351	126903	13891
1352	127004	13798
1353	127069	13701
1354	127177	13609
1355	127290	13517
1356	127406	13426
1357	127502	13332
1358	127603	13239
1359	127674	13142
1360	127794	13051
1361	127890	12958
1362	127970	12862
1363	128079	12770
1364	128187	12677
1365	128306	12586
1366	128395	12492
1367	128484	12397
1368	128618	12307
1369	128722	12214
1370	128801	12119
1371	128916	12027
1372	129027	11934
1373	129135	11842
1374	129229	11748
1375	129327	11654
1376	129436	11561
1377	129552	11469
1378	129692	11379
1379	129815	11288
1380	129947	11197
1381	130055	11104
1382	130178	11012
1383	130380	10927
1384	130472	10833
1385	130560	10738
1386	130674	10646
1387	130756	10550
1388	130856	10457
1389	130966	10364
1390	131068	10270
1391	131178	10177
1392	131234	10080
1393	131340	9987
1394	131430	9892
1395	131522	9798
1396	131647	9706
1397	131769	9614
1398	131895	9522
1399	132007	9429
1400	132115	9335
1401	132210	9241
1402	132333	9149
1403	132423	9054
1404	132535	8961
1405	132644	8868
1406	132733	8773
1407	132850	8680
1408	132967	8587
1409	133047	8492
1410	133155	8398
1411	133262	8305
1412	133368	8211
1413	133481	8118
1414	133597	8025
1415	133716	7932
1416	133840	7839
1417	133951	7746
1418	134076	7653
1419	134204	7560
1420	134297	7466
1421	134411	7372
1422	134512	7278
1423	134617	7184
1424	134712	7090
1425	134806	6995
1426	134911	6901
1427	135013	6807
1428	135143	6714
1429	135263	6621
1430	135387	6528
1431	135510	6434
1432	135622	6341
1433	135733	6247
1434	135825	6152
1435	135930	6058
1436	136031	5963
1437	136147	5870
1438	136235	5775
1439	136329	5680
1440	136419	5585
1441	136512	5490
1442	136579	5395
1443	136679	5300
1444	136763	5205
1445	136872	5111
1446	137065	5020
1447	137174	4926
1448	137291	4832
1449	137381	4737
1450	137498	4643
1451	137608	4549
1452	137711	4454
1453	137823	4360
1454	137926	4265
1455	138032	4171
1456	138126	4076
1457	138228	3981
1458	138330	3887
1459	138453	3793
1460	138558	3698
1461	138639	3603
1462	138747	3508
1463	138857	3414
1464	138945	3319
1465	139045	3224
1466	139164	3130
1467	139257	3035
1468	139375	2941
1469	139461	2846
1470	139560	2751
1471	139650	2656
1472	139756	2561
1473	139857	2466
1474	139964	2372
1475	140075	2277
1476	140190	2183
1477	140309	2088
1478	140410	1993
1479	140498	1898
1480	140619	1804
1481	140742	1709
1482	140846	1614
1483	140953	1519
1484	141066	1424
1485	141161	1329
1486	141255	1234
1487	141363	1140
1488	141466	1045
1489	141549	949
1490	141653	855
1491	141746	760
1492	141835	665
1493	141914	569
1494	142011	474
1495	142119	379
1496	142232	285
1497	142400	190
1498	142511	95
1499	142620	0
